timestamp,station,temperature_c,feels_like_c,humidity_pct,wind_speed_ms,wind_gust_ms,solar_irradiance_wm2,pressure_hpa,solar_output_kw,wind_output_kw,heating_demand_kw,station_load_kw,net_balance_kw,battery_soc_pct,generator_output_kw,renewable_share_pct
2024-01-01T00:00,Bharati Station,-2.0,-8.5,59,23.3,31.7,36.0,972.7,1.8,0.0,7.5,45.2,-43.4,66.61,0.0,4.0
2024-01-01T01:00,Bharati Station,-2.3,-9.4,60,26.9,36.0,200.0,972.6,9.8,0.0,7.6,45.3,-35.5,57.29,0.0,21.6
2024-01-01T02:00,Bharati Station,-2.1,-8.9,61,24.6,34.2,240.0,972.8,11.8,0.0,7.5,45.2,-33.4,48.52,0.0,26.1
2024-01-01T03:00,Bharati Station,-1.8,-8.2,60,22.2,31.0,81.0,973.0,4.0,0.0,7.4,45.1,-41.1,37.73,0.0,8.9
2024-01-01T04:00,Bharati Station,-1.5,-7.6,58,20.1,28.1,125.0,973.0,6.2,0.0,7.3,45.0,-38.8,27.54,0.0,13.8
2024-01-01T05:00,Bharati Station,-1.3,-7.0,56,18.1,25.2,305.0,972.8,14.8,57.0,7.2,44.9,26.9,33.93,0.0,100.0
2024-01-01T06:00,Bharati Station,-1.2,-5.8,56,16.3,22.7,601.0,972.7,28.2,57.0,7.1,44.8,40.4,43.52,0.0,100.0
2024-01-01T07:00,Bharati Station,-1.1,-4.8,57,12.4,19.8,687.0,972.6,31.9,57.0,7.0,44.7,44.2,54.02,0.0,100.0
2024-01-01T08:00,Bharati Station,-1.1,-3.8,63,7.3,14.8,692.0,972.5,32.1,11.8,6.9,44.6,-0.7,53.84,0.0,98.4
2024-01-01T09:00,Bharati Station,-0.7,-2.8,46,0.8,8.6,665.0,972.5,30.9,0.0,6.6,44.3,-13.4,50.32,0.0,69.8
2024-01-01T10:00,Bharati Station,-1.1,-4.2,66,6.8,7.2,608.0,972.3,28.5,9.0,6.8,44.5,-7.0,48.48,0.0,84.3
2024-01-01T11:00,Bharati Station,-1.2,-5.3,71,10.5,12.2,523.0,972.0,24.7,40.2,7.0,44.7,20.2,53.28,0.0,100.0
2024-01-01T12:00,Bharati Station,-1.3,-5.7,73,10.5,13.3,401.0,971.7,19.2,40.2,7.0,44.7,14.7,56.77,0.0,100.0
2024-01-01T13:00,Bharati Station,-1.4,-5.2,80,7.1,7.9,342.0,972.2,16.5,10.6,6.9,44.6,-17.5,52.18,0.0,60.8
2024-01-01T14:00,Bharati Station,-1.4,-5.5,72,8.5,9.7,241.0,972.0,11.8,20.3,6.9,44.6,-12.5,48.9,0.0,72.0
